#S&P 1500 index as of 2015-04-17
A
EAT
EBAY
EBIX
EBS
ECL
ECPG
ED
EE
EFII
EFX
EGHT
EGL
EGN
EGOV
EGP
EHTH
EIG
EIX
EL
ELY
EMC
EME
EMN
EMR
ENDP
ENR
ENS
ENSG
ENTR
EOG
EPAY
EPIQ
EPR
EQIX
EQR
EQT
EQY
ERA
ESE
ESI
ESIO
ESL
ESRX
ESS
ESV
ETFC
ETH
ETN
ETR
EV
EVR
EW
EWBC
EXAR
EXC
EXH
EXLS
EXP
EXPD
EXPE
EXPO
EXR
EZPW
F
FAF
FARO
FAST
FB
FBHS
FBP
FCF
FCFS
FCN
FCS
FCX
FDO
FDS
FDX
FE
FEIC
FELE
FF
FFBC
FFIN
FFIV
FHN
FICO
FII
FINL
FIS
FISV
FITB
FIX
FL
FLIR
FLO
FLR
FLS
FMBI
FMC
FMER
FN
FNB
FNF
FNFG
FNGN
FOR
FORR
FOSL
FOXA
FRAN
FRED
FRT
FRX
FSLR
FSP
FSS
FST
FTD
FTI
FTK
FTNT
FTR
FUL
FULT
FWRD
FXCM
GAS
GB
GBCI
GCI
GCO
GD
GDOT
GE
GEF
GEO
GEOS
GES
GFF
GGG
GGP
GHC
GHL
GIFI
GIII
GILD
GIS
GK
GLT
GLW
GM
GMCR
GME
GMT
GNCMA
GNTX
GNW
GOOG
GOV
GPC
GPI
GPN
GPOR
GPRE
GPS
GRMN
GS
GSM
GT
GTAT
GTIV
GTY
GVA
GWR
GWW
GXP
GY
HAE
HAFC
HAIN
HAL
HAR
HAS
HAYN
HBAN
HBHC
HBI
HCBK
HCC
HCI
HCN
HCP
HCSG
HD
HE
HELE
HES
HF
HFC
HGR
HHS
HI
HIBB
HIG
HII
HITT
HIW
HLIT
HLX
HME
HMN
HMSY
HNI
HNT
HOG
HOLX
HOMB
HON
HOS
HOT
HP
HPQ
HPT
HPY
HR
HRB
HRC
HRL
HRS
HSC
HSH
HSIC
HSII
HSNI
HSP
HST
HSTM
HSY
HTLD
HUB/B
HUBG
HUM
HVT
HW
HWAY
HWKN
HZO
IART
IBKR
IBM
IBOC
ICE
ICON
ICUI
IDA
IDCC
IDTI
IDXX
IEX
IFF
IGT
IGTE
IILG
IIVI
IM
INDB
INFA
INGR
ININ
INT
INTC
INTU
IO
IP
IPAR
IPCC
IPCM
IPG
IPHS
IPI
IPXL
IR
IRBT
IRC
IRF
IRM
ISCA
ISIL
ISRG
IT
ITG
ITRI
ITT
ITW
IVAC
IVC
IVZ
JACK
JAH
JAKK
JBHT
JBL
JBLU
JBT
JCI
JCOM
JCP
JDSU
JEC
JJSF
JKHY
JLL
JNJ
JNPR
JNS
JOY
JPM
JW/A
JWN
K
KALU
KAMN
KATE
KBH
KBR
KELYA
KEX
KEY
KFY
KIM
KIRK
KLAC
KLIC
KMB
KMI
KMPR
KMT
KMX
KN
KND
KNX
KO
KOP
KOPN
KORS
KR
KRA
KRC
KRFT
KRG
KS
KSS
KSU
KWR
L
LAD
LAMR
LANC
LB
LCI
LDL
LDOS
LDR
LECO
LEG
LEN
LFUS
LG
LGND
LH
LHCG
LHO
LII
LKQ
LL
LLL
LLTC
LLY
LM
LMNX
LMOS
LMT
LNC
LNCE
LNN
LNT
LO
LOGM
LOW
LPNT
LPSN
LPT
LPX
LQDT
LRCX
LSTR
LTC
LTM
LUK
LUV
LXK
LXP
LXU
LYB
LYV
LZB
M
MA
MAA
MAC
MAN
MANH
MANT
MAR
MAS
MASI
MAT
MATW
MATX
MBFI
MCD
MCF
MCHP
MCK
MCO
MCRI
MCRL
MCRS
MCS
MCY
MD
MDC
MDCO
MDLZ
MDP
MDRX
MDSO
MDT
MDU
MEAS
MED
MEI
MENT
MET
MGAM
MGLN
MHFI
MHK
MHO
MIG
MINI
MJN
MKC
MKSI
MKTX
MLHR
MLI
MLM
MMC
MMM
MMS
MMSI
MNK
MNRO
MNST
MNTA
MO
MOG/A
MOH
MON
MOS
MOV
MPC
MPW
MPWR
MRCY
MRK
MRO
MS
MSA
MSCC
MSCI
MSFT
MSI
MSM
MSTR
MTB
MTD
MTH
MTRN
MTRX
MTSC
MTX
MU
MUR
MUSA
MW
MWIV
MWV
MWW
MYE
MYL
NANO
NATI
NAVG
NAVI
NBL
NBR
NBTB
NCI
NCR
NDAQ
NDSN
NE
NEE
NEM
NEOG
NEU
NEWP
NFG
NFLX
NFX
NI
NILE
NJR
NKE
NLSN
NNN
NOC
NOG
NOV
NP
NPBC
NPK
NPO
NR
NRG
NSC
NSIT
NSP
NSR
NTAP
NTCT
NTGR
NTLS
NTRI
NTRS
NU
NUE
NUVA
NVDA
NVR
NWBI
NWE
NWL
NWN
NWSA
NX
NYCB
NYT
O
OCR
ODFL
ODP
OFC
OGE
OGS
OHI
OI
OII
OIS
OKE
OLN
OMC
OMCL
OMG
OMI
ONB
ONE
OPEN
OPLK
ORB
ORCL
ORI
ORIT
ORLY
ORN
OSIS
OSK
OUTR
OXM
OXY
OZRK
PACW
PAY
PAYX
PB
PBCT
PBH
PBI
PBY
PCAR
PCG
PCH
PCL
PCLN
PCP
PDCE
PDCO
PEG
PEI
PEP
PERY
PES
PETM
PETS
PFE
PFG
PFS
PG
PGR
PGTI
PH
PHM
PII
PJC
PKE
PKG
PKI
PKT
PKY
PL
PLCE
PLCM
PLD
PLL
PLT
PLXS
PM
PMC
PNC
PNFP
PNK
PNM
PNR
PNRA
PNW
PNY
POL
POM
POOL
POST
POWI
POWL
PPG
PPL
PPS
PQ
PRA
PRAA
PRFT
PRGO
PRGS
PRI
PRU
PRXL
PSA
PSB
PSEM
PSX
PTC
PTEN
PVA
PVH
PVTB
PWR
PX
PXD
PZZA
QCOM
QCOR
QEP
QLGC
QNST
QSII
R
RAI
RAX
RBC
RBCN
RCII
RDC
RE
RECN
REG
REGN
RF
RFMD
RGA
RGEN
RGLD
RGR
RGS
RHI
RHT
RIG
RJF
RKT
RL
RLI
RMD
RNR
ROCK
ROG
ROIC
ROK
ROL
ROP
ROSE
ROST
ROVI
RPM
RRC
RRD
RRGB
RRTS
RS
RSG
RSTI
RT
RTEC
RTI
RTN
RUTH
RVBD
RYL
RYN
SAFM
SAFT
SAH
SAIA
SAIC
SAM
SANM
SBNY
SBRA
SBUX
SCG
SCHL
SCHW
SCI
SCL
SCOR
SCSC
SCSS
SE
SEE
SEIC
SENEA
SF
SFG
SFNC
SFY
SGMS
SGY
SHLM
SHOO
SHW
SIAL
SIG
SIGI
SIRO
SIVB
SJI
SJM
SKT
SKX
SKYW
SLAB
SLB
SLCA
SLG
SLGN
SLH
SLM
SLXP
SM
SMA
SMCI
SMG
SMP
SMRT
SMTC
SNA
SNCR
SNDK
SNH
SNI
SNPS
SNV
SNX
SO
SON
SONC
SPAR
SPF
SPG
SPLS
SPN
SPPI
SPTN
SPW
SRCL
SRDX
SRE
SSD
SSI
SSP
SSS
STBA
STC
STE
STI
STJ
STL
STLD
STMP
STR
STRA
STT
STX
STZ
SUNE
SUP
SUSQ
SVU
SWC
SWI
SWK
SWKS
SWM
SWN
SWS
SWX
SWY
SXC
SXI
SXT
SYK
SYKE
SYMC
SYNA
SYY
SZMK
T
TAP
TASR
TAYC
TBI
TCB
TCBI
TCO
TDC
TDS
TDW
TDY
TE
TECD
TECH
TEG
TEL
TER
TESO
TEX
TFX
TG
TGI
TGT
THC
THG
THO
THOR
THS
TIBX
TIF
TILE
TIME
TJX
TKR
TMK
TMO
TMP
TNC
TNGO
TOL
TPX
TQNT
TR
TRAK
TRIP
TRMB
TRMK
TRN
TROW
TRST
TRV
TSCO
TSN
TSO
TSRA
TSS
TTC
TTEC
TTEK
TTI
TTMI
TTWO
TUES
TUP
TW
TWC
TWI
TWTC
TWX
TXI
TXN
TXRH
TXT
TYC
TYL
TYPE
UA
UBA
UBSI
UCBI
UDR
UEIC
UFCS
UFPI
UFS
UGI
UHS
UHT
UIL
UMBF
UMPQ
UNF
UNFI
UNH
UNM
UNP
UNS
UNT
UPS
URBN
URI
URS
USB
USMO
USTR
UTEK
UTHR
UTI
UTIW
UTX
UVE
UVV
V
VAC
VAL
VAR
VDSI
VECO
VFC
VIAB
VICR
VIVO
VLO
VLY
VMC
VMI
VNO
VOXX
VPFG
VRSN
VRTS
VRTU
VRTX
VSAT
VSH
VSI
VTR
VVC
VVI
VZ
WAB
WABC
WAFD
WAG
WAGE
WAT
WBS
WCG
WCN
WDC
WDFC
WDR
WEC
WEN
WERN
WEX
WFC
WFM
WGL
WGO
WHR
WIBC
WIN
WIRE
WLP
WM
WMB
WMT
WOOF
WOR
WPG
WPP
WPX
WR
WRB
WRI
WRLD
WSM
WSO
WST
WTFC
WTR
WTS
WU
WWAV
WWD
WWW
WY
WYN
WYNN
X
XEC
XEL
XL
XLNX
XLS
XOM
XOXO
XRAY
XRX
XXIA
XYL
Y
YHOO
YUM
ZBRA
ZEP
ZEUS
ZION
ZMH
ZQK
ZTS
ZUMZ
